Team,Season,avg(SVR)
ATL,1991,210.4764213
ATL,1992,125.4944627
ATL,1993,172.7976892
ATL,1994,224.3430994
ATL,1995,159.8542373
ATL,1996,184.5304207
ATL,1997,248.9829869
ATL,1998,216.8033245
ATL,1999,131.5316817
ATL,2000,110.4783726
ATL,2001,62.02263812
ATL,2002,99.99264377
ATL,2003,107.7012685
ATL,2004,74.94612952
ATL,2005,42.13766016
ATL,2006,138.8597571
ATL,2007,76.85530676
ATL,2008,143.5154645
ATL,2009,169.0885139
ATL,2010,249.7442293
ATL,2011,128.5302757
ATL,2012,128.2195095
ATL,2013,114.9491778
ATL,2014,166.7821075
ATL,2015,188.6559308
BKN,1991,102.6317099
BKN,1992,179.1893941
BKN,1993,157.7997704
BKN,1994,160.8106987
BKN,1995,122.3686617
BKN,1996,97.47441216
BKN,1997,84.3416886
BKN,1998,156.7773839
BKN,1999,42.11556103
BKN,2000,144.2946321
BKN,2001,86.21056726
BKN,2002,211.7182096
BKN,2003,222.0174463
BKN,2004,166.2449231
BKN,2005,82.63651561
BKN,2006,177.1363934
BKN,2007,144.9129113
BKN,2008,81.80872697
BKN,2009,140.5877959
BKN,2010,65.07479662
BKN,2011,68.17314013
BKN,2012,48.07325428
BKN,2013,148.3328953
BKN,2014,119.8284145
BKN,2015,92.33959258
BOS,1991,230.391605
BOS,1992,150.7834075
BOS,1993,159.036187
BOS,1994,131.3033062
BOS,1995,119.0702163
BOS,1996,113.0155396
BOS,1997,93.04566
BOS,1998,93.6315049
BOS,1999,69.51569504
BOS,2000,137.2093363
BOS,2001,131.249899
BOS,2002,168.2471772
BOS,2003,136.1360998
BOS,2004,98.81109295
BOS,2005,149.2583772
BOS,2006,105.3882003
BOS,2007,102.4285089
BOS,2008,245.7278462
BOS,2009,201.3965641
BOS,2010,147.0279054
BOS,2011,136.1184369
BOS,2012,114.3095648
BOS,2013,104.0696761
BOS,2014,85.75481248
BOS,2015,126.0073992
CHA,1991,92.98970841
CHA,1992,162.6778998
CHA,1993,163.6952391
CHA,1994,103.1226642
CHA,1995,199.9925148
CHA,1996,127.4642282
CHA,1997,181.133466
CHA,1998,194.8915489
CHA,1999,109.6295624
CHA,2000,177.3814936
CHA,2001,201.1574349
CHA,2002,162.7153764
CHA,2005,75.87554771
CHA,2006,89.26949311
CHA,2007,88.40774148
CHA,2008,123.0350413
CHA,2009,91.90900922
CHA,2010,131.1437665
CHA,2011,82.5035043
CHA,2012,17.06430605
CHA,2013,56.53392368
CHA,2014,164.4013212
CHA,2015,116.9562973
CHI,1991,327.7420741
CHI,1992,255.5674813
CHI,1993,224.974025
CHI,1994,183.2545251
CHI,1995,176.3382418
CHI,1996,285.4227861
CHI,1997,136.2329434
CHI,1998,89.39573281
CHI,1999,39.97773442
CHI,2000,43.55043841
CHI,2001,71.98575995
CHI,2002,33.02864418
CHI,2003,72.10162402
CHI,2004,61.22718401
CHI,2005,153.6864402
CHI,2006,140.0993705
CHI,2007,232.915969
CHI,2008,77.74619173
CHI,2009,101.3894842
CHI,2010,118.1642394
CHI,2011,221.1100989
CHI,2012,166.3344462
CHI,2013,185.1047633
CHI,2014,205.392233
CHI,2015,202.4040219
CLE,1991,135.0271522
CLE,1992,191.1345188
CLE,1993,251.2728789
CLE,1994,162.1562434
CLE,1995,175.5449893
CLE,1996,228.2481369
CLE,1997,261.0507364
CLE,1998,183.0890435
CLE,1999,70.06011122
CLE,2000,84.4983571
CLE,2001,92.86839462
CLE,2002,134.0881176
CLE,2003,73.88491963
CLE,2004,93.9472803
CLE,2005,177.7398836
CLE,2006,170.1551469
CLE,2007,190.3398061
CLE,2008,96.12296284
CLE,2009,235.2058917
CLE,2010,181.2507986
CLE,2011,44.48707559
CLE,2012,45.82390439
CLE,2013,67.60364049
CLE,2014,129.5464063
CLE,2015,195.6845022
DAL,1991,129.6135797
DAL,1992,71.2195921
DAL,1993,16.13862217
DAL,1994,47.91169637
DAL,1995,128.0828946
DAL,1996,92.38752353
DAL,1997,37.20468498
DAL,1998,89.21495551
DAL,1999,84.47965911
DAL,2000,143.6253598
DAL,2001,164.4415308
DAL,2002,142.7285553
DAL,2003,216.0400237
DAL,2004,226.9759492
DAL,2005,184.5815655
DAL,2006,199.1843683
DAL,2007,233.2943264
DAL,2008,136.6931025
DAL,2009,181.427348
DAL,2010,143.1341063
DAL,2011,142.1791619
DAL,2012,115.8587894
DAL,2013,86.97734501
DAL,2014,158.7545468
DAL,2015,178.8540147
DEN,1991,57.37633534
DEN,1992,91.24040048
DEN,1993,161.4428044
DEN,1994,197.6438995
DEN,1995,163.5089808
DEN,1996,172.5401708
DEN,1997,73.59769172
DEN,1998,44.84944275
DEN,1999,72.27842818
DEN,2000,108.4090472
DEN,2001,127.659115
DEN,2002,45.08226043
DEN,2003,39.75810937
DEN,2004,165.3302203
DEN,2005,140.729618
DEN,2006,112.0312627
DEN,2007,120.5218803
DEN,2008,175.4581912
DEN,2009,162.8138748
DEN,2010,211.3127661
DEN,2011,124.4624446
DEN,2012,108.6973077
DEN,2013,182.8429025
DEN,2014,131.7000546
DEN,2015,103.72983
DET,1991,224.2213739
DET,1992,232.2343638
DET,1993,157.3386086
DET,1994,69.05068133
DET,1995,85.62689894
DET,1996,223.2842489
DET,1997,212.5676585
DET,1998,152.4738659
DET,1999,120.8293681
DET,2000,182.3914899
DET,2001,113.4379426
DET,2002,180.0651714
DET,2003,203.5658028
DET,2004,188.4060356
DET,2005,214.4747077
DET,2006,253.7031726
DET,2007,189.2990732
DET,2008,165.9980826
DET,2009,129.3133238
DET,2010,92.9749568
DET,2011,113.3838441
DET,2012,89.7031634
DET,2013,82.84298806
DET,2014,134.6215096
DET,2015,135.1043309
GSW,1991,204.4535303
GSW,1992,211.3956838
GSW,1993,116.8848646
GSW,1994,164.2825145
GSW,1995,69.66986781
GSW,1996,128.0210063
GSW,1997,140.2932284
GSW,1998,43.73323071
GSW,1999,82.29554108
GSW,2000,38.27420456
GSW,2001,51.50323925
GSW,2002,98.64286322
GSW,2003,148.4693815
GSW,2004,119.7717999
GSW,2005,94.70202492
GSW,2006,147.3980938
GSW,2007,88.25033755
GSW,2008,151.6637214
GSW,2009,87.6257251
GSW,2010,72.29244541
GSW,2011,137.8320822
GSW,2012,62.25206461
GSW,2013,170.3860266
GSW,2014,273.9772743
GSW,2015,240.0241096
HOU,1991,240.4400531
HOU,1992,156.4644641
HOU,1993,236.3759094
HOU,1994,263.8024756
HOU,1995,140.7091017
HOU,1996,197.4436741
HOU,1997,179.9499318
HOU,1998,151.1826478
HOU,1999,157.0642031
HOU,2000,120.1074504
HOU,2001,189.4893836
HOU,2002,110.7523045
HOU,2003,177.9497011
HOU,2004,192.8985552
HOU,2005,125.2173892
HOU,2006,82.70878416
HOU,2007,200.0487564
HOU,2008,130.4686682
HOU,2009,159.3098659
HOU,2010,99.99078951
HOU,2011,130.3991098
HOU,2012,91.26678891
HOU,2013,141.8380548
HOU,2014,230.2032114
HOU,2015,198.881205
IND,1991,203.3881652
IND,1992,188.370525
IND,1993,209.407622
IND,1994,168.5700696
IND,1995,210.2978305
IND,1996,153.3497333
IND,1997,112.1818492
IND,1998,226.5620277
IND,1999,125.5580212
IND,2000,176.78663
IND,2001,141.4665384
IND,2002,105.1618593
IND,2003,182.2346914
IND,2004,198.6726749
IND,2005,89.01273992
IND,2006,125.9113868
IND,2007,80.57003947
IND,2008,127.7394825
IND,2009,141.2957284
IND,2010,107.4020077
IND,2011,118.134464
IND,2012,153.1786243
IND,2013,184.6568991
IND,2014,212.4432793
IND,2015,111.348663
LAC,1991,112.9117514
LAC,1992,153.971756
LAC,1993,170.9655254
LAC,1994,72.47909142
LAC,1995,67.19431642
LAC,1996,126.8231417
LAC,1997,116.3593438
LAC,1998,76.12587698
LAC,1999,32.01078706
LAC,2000,37.40396155
LAC,2001,119.0518757
LAC,2002,171.0266234
LAC,2003,96.57471635
LAC,2004,112.5292163
LAC,2005,147.8720344
LAC,2006,148.7086324
LAC,2007,120.7603576
LAC,2008,62.55293514
LAC,2009,49.91263367
LAC,2010,67.893406
LAC,2011,105.2749974
LAC,2012,136.0340209
LAC,2013,235.0013528
LAC,2014,195.8927624
LAC,2015,217.917438
LAL,1991,281.2234162
LAL,1992,186.6203114
LAL,1993,166.6824604
LAL,1994,103.0441619
LAL,1995,165.2169888
LAL,1996,227.6488286
LAL,1997,161.6891479
LAL,1998,233.4527421
LAL,1999,82.25704085
LAL,2000,220.8842318
LAL,2001,169.6951353
LAL,2002,199.5226072
LAL,2003,210.0231828
LAL,2004,155.182637
LAL,2005,118.0848795
LAL,2006,186.7483166
LAL,2007,146.5547275
LAL,2008,162.6007219
LAL,2009,237.9470491
LAL,2010,221.5362568
LAL,2011,203.2807443
LAL,2012,113.9454759
LAL,2013,146.6101302
LAL,2014,63.39766457
LAL,2015,59.54119186
MEM,2002,101.7025813
MEM,2003,105.8975541
MEM,2004,151.8413684
MEM,2005,149.2460055
MEM,2006,179.8028698
MEM,2007,74.81371996
MEM,2008,67.47180881
MEM,2009,108.3636189
MEM,2010,147.0913109
MEM,2011,147.635625
MEM,2012,154.4004994
MEM,2013,136.5688889
MEM,2014,145.0959224
MEM,2015,154.746014
MIA,1991,112.0042188
MIA,1992,148.3836886
MIA,1993,162.8853678
MIA,1994,213.2139394
MIA,1995,134.4396835
MIA,1996,90.79846031
MIA,1997,184.1882824
MIA,1998,190.99804
MIA,1999,128.4511773
MIA,2000,159.1748231
MIA,2001,178.9979452
MIA,2002,135.8236877
MIA,2003,104.9148419
MIA,2004,157.8013082
MIA,2005,187.6993692
MIA,2006,164.0938567
MIA,2007,118.2760003
MIA,2008,35.89149989
MIA,2009,130.2351946
MIA,2010,168.5372962
MIA,2011,199.0784245
MIA,2012,168.6888911
MIA,2013,206.0281168
MIA,2014,207.1245041
MIA,2015,59.37606687
MIL,1991,161.5932753
MIL,1992,143.791319
MIL,1993,89.49902823
MIL,1994,91.01723694
MIL,1995,123.4546985
MIL,1996,114.3686705
MIL,1997,166.2497642
MIL,1998,160.0385934
MIL,1999,63.2943166
MIL,2000,164.1322856
MIL,2001,204.2891872
MIL,2002,165.1948397
MIL,2003,127.1288501
MIL,2004,136.2042083
MIL,2005,98.19418543
MIL,2006,139.3411449
MIL,2007,100.2217147
MIL,2008,90.10254419
MIL,2009,119.4056741
MIL,2010,114.7217469
MIL,2011,109.230241
MIL,2012,87.22880543
MIL,2013,109.3773894
MIL,2014,72.39325508
MIL,2015,138.498657
MIN,1991,168.9896226
MIN,1992,78.13046619
MIN,1993,90.73819982
MIN,1994,87.10119037
MIN,1995,55.82093791
MIN,1996,96.33252915
MIN,1997,158.4541507
MIN,1998,146.12576
MIN,1999,57.49818116
MIN,2000,202.2558531
MIN,2001,178.322663
MIN,2002,186.1082974
MIN,2003,160.93576
MIN,2004,195.7314924
MIN,2005,181.0633342
MIN,2006,97.11338379
MIN,2007,134.1586343
MIN,2008,81.3572408
MIN,2009,78.88445033
MIN,2010,56.79210242
MIN,2011,83.13818613
MIN,2012,93.24120504
MIN,2013,87.80234954
MIN,2014,135.3201672
MIN,2015,37.60785441
NOH,2003,197.4701863
NOH,2004,179.6825122
NOH,2005,47.31453533
NOH,2008,246.7526695
NOH,2009,207.860233
NOH,2010,122.273379
NOH,2011,135.6808157
NOH,2012,51.0616351
NOH,2013,87.82036393
NOK,2006,102.7678464
NOK,2007,122.4323221
NOP,2014,95.62174837
NOP,2015,132.359161
NYK,1991,171.7492623
NYK,1992,219.2427948
NYK,1993,242.58321
NYK,1994,221.4597256
NYK,1995,187.4921873
NYK,1996,177.8116897
NYK,1997,250.2107415
NYK,1998,176.3266129
NYK,1999,104.5147603
NYK,2000,176.9049882
NYK,2001,161.3252859
NYK,2002,122.7506082
NYK,2003,154.4994203
NYK,2004,59.91571004
NYK,2005,120.7226366
NYK,2006,58.50013269
NYK,2007,126.2664093
NYK,2008,90.42497021
NYK,2009,107.3706955
NYK,2010,94.52735967
NYK,2011,98.31593929
NYK,2012,117.896916
NYK,2013,134.489118
NYK,2014,135.3566721
NYK,2015,40.09220685
OKC,2009,80.1415216
OKC,2010,188.618007
OKC,2011,166.7235917
OKC,2012,184.6567113
OKC,2013,261.642296
OKC,2014,211.5249065
OKC,2015,143.0232577
ORL,1991,126.6139744
ORL,1992,69.36070994
ORL,1993,165.9383924
ORL,1994,235.8225162
ORL,1995,237.275924
ORL,1996,228.3042213
ORL,1997,125.9843661
ORL,1998,91.05575413
ORL,1999,103.0346261
ORL,2000,102.6804695
ORL,2001,171.7804451
ORL,2002,155.2162518
ORL,2003,130.0685622
ORL,2004,66.67382419
ORL,2005,108.7605627
ORL,2006,110.5994122
ORL,2007,140.1400045
ORL,2008,210.5473376
ORL,2009,199.637266
ORL,2010,252.4589345
ORL,2011,158.2285517
ORL,2012,133.877314
ORL,2013,60.01591893
ORL,2014,104.7730212
ORL,2015,99.64921496
PHI,1991,164.3747641
PHI,1992,194.7072289
PHI,1993,130.0792597
PHI,1994,83.10761102
PHI,1995,134.1305761
PHI,1996,18.68419452
PHI,1997,80.5329146
PHI,1998,79.39709338
PHI,1999,108.0781444
PHI,2000,130.970743
PHI,2001,143.1924707
PHI,2002,130.5998383
PHI,2003,178.5659953
PHI,2004,131.5659592
PHI,2005,134.8047321
PHI,2006,151.1119156
PHI,2007,100.6557197
PHI,2008,172.1893383
PHI,2009,187.8630656
PHI,2010,100.2160194
PHI,2011,179.4626272
PHI,2012,149.1882014
PHI,2013,109.6016419
PHI,2014,55.28932424
PHI,2015,39.24748438
PHO,1991,191.6080303
PHO,1992,280.3095369
PHO,1993,209.8393474
PHO,1994,184.6911832
PHO,1995,179.1020943
PHO,1996,136.8428723
PHO,1997,99.53826539
PHO,1998,194.8760328
PHO,1999,131.1191341
PHO,2000,178.7045916
PHO,2001,171.9433214
PHO,2002,114.6474493
PHO,2003,200.3697008
PHO,2004,89.86691833
PHO,2005,228.1138747
PHO,2006,224.2126906
PHO,2007,288.6953435
PHO,2008,193.1650503
PHO,2009,126.5548701
PHO,2010,212.9378575
PHO,2011,97.68090165
PHO,2012,152.391873
PHO,2013,80.50988535
PHO,2014,212.8622017
PHO,2015,136.8383074
POR,1991,270.5802653
POR,1992,240.8086347
POR,1993,227.3381223
POR,1994,213.9497618
POR,1995,156.6015017
POR,1996,224.5849587
POR,1997,180.5689609
POR,1998,110.9457848
POR,1999,111.461417
POR,2000,212.7170749
POR,2001,171.7989348
POR,2002,178.6408771
POR,2003,154.0564878
POR,2004,87.64668874
POR,2005,99.05418273
POR,2006,34.05476658
POR,2007,85.94331574
POR,2008,154.3464819
POR,2009,220.3135339
POR,2010,135.8222978
POR,2011,151.5609156
POR,2012,94.47079722
POR,2013,149.3351997
POR,2014,208.2090804
POR,2015,196.196437
SAC,1991,85.53811861
SAC,1992,123.9541405
SAC,1993,87.70824386
SAC,1994,89.37934845
SAC,1995,174.2641363
SAC,1996,116.1867577
SAC,1997,139.3435702
SAC,1998,86.49904874
SAC,1999,90.5444909
SAC,2000,156.3653655
SAC,2001,246.765027
SAC,2002,258.2278358
SAC,2003,206.3056799
SAC,2004,258.207297
SAC,2005,120.7941003
SAC,2006,157.911601
SAC,2007,139.8346835
SAC,2008,111.0959069
SAC,2009,42.9745365
SAC,2010,79.97965071
SAC,2011,86.97520229
SAC,2012,82.74864761
SAC,2013,85.91833792
SAC,2014,145.9187346
SAC,2015,100.6414519
SAS,1991,239.7705904
SAS,1992,174.8002809
SAS,1993,174.6030505
SAS,1994,266.4865212
SAS,1995,209.7361469
SAS,1996,234.7056428
SAS,1997,66.64193187
SAS,1998,224.0421976
SAS,1999,169.0708217
SAS,2000,202.3195817
SAS,2001,225.1702818
SAS,2002,237.2678704
SAS,2003,221.033783
SAS,2004,203.2043104
SAS,2005,188.5350729
SAS,2006,198.8057
SAS,2007,192.2276882
SAS,2008,126.8297294
SAS,2009,137.4314865
SAS,2010,160.8446312
SAS,2011,156.4604262
SAS,2012,115.5337497
SAS,2013,156.7244281
SAS,2014,188.4034155
SAS,2015,187.2841554
SEA,1991,124.2756955
SEA,1992,172.5055595
SEA,1993,214.0058842
SEA,1994,307.4548577
SEA,1995,284.9405863
SEA,1996,277.1096067
SEA,1997,240.6445647
SEA,1998,221.235148
SEA,1999,100.9491082
SEA,2000,182.8058281
SEA,2001,163.6614189
SEA,2002,216.1755295
SEA,2003,120.085039
SEA,2004,142.8422916
SEA,2005,176.6524364
SEA,2006,104.7574685
SEA,2007,127.3586114
SEA,2008,45.43406818
TOR,1996,74.01358559
TOR,1997,132.5651353
TOR,1998,38.21957353
TOR,1999,92.09499904
TOR,2000,166.5847571
TOR,2001,129.1530567
TOR,2002,143.7488415
TOR,2003,91.16840421
TOR,2004,81.52776153
TOR,2005,125.3085414
TOR,2006,145.4763292
TOR,2007,135.6477612
TOR,2008,150.7940279
TOR,2009,104.7669827
TOR,2010,124.9431621
TOR,2011,53.03445233
TOR,2012,79.95253286
TOR,2013,105.7318031
TOR,2014,280.6330364
TOR,2015,176.0262439
TOT,2013,
UTA,1991,283.6984752
UTA,1992,273.1671287
UTA,1993,211.5640766
UTA,1994,194.0002022
UTA,1995,265.6827024
UTA,1996,289.5585453
UTA,1997,272.7864062
UTA,1998,249.2910505
UTA,1999,182.6667418
UTA,2000,235.6434319
UTA,2001,201.1276453
UTA,2002,180.0898386
UTA,2003,206.1393829
UTA,2004,110.5352204
UTA,2005,89.5786443
UTA,2006,127.7382591
UTA,2007,178.4796778
UTA,2008,215.9665889
UTA,2009,165.1417812
UTA,2010,202.1039611
UTA,2011,125.9945978
UTA,2012,139.194716
UTA,2013,154.6736488
UTA,2014,85.98436386
UTA,2015,152.8755846
VAN,1996,49.76068158
VAN,1997,51.52501559
VAN,1998,48.638593
VAN,1999,21.72564422
VAN,2000,144.5658599
VAN,2001,112.0432316
WAS,1998,181.0171516
WAS,1999,74.76872748
WAS,2000,89.06472987
WAS,2001,41.56432798
WAS,2002,116.0643118
WAS,2003,131.7180373
WAS,2004,68.5623469
WAS,2005,154.1096368
WAS,2006,210.0114671
WAS,2007,157.9709406
WAS,2008,176.4891598
WAS,2009,73.0345942
WAS,2010,48.13128717
WAS,2011,44.05298587
WAS,2012,53.80402171
WAS,2013,69.82958174
WAS,2014,172.1248806
WAS,2015,183.7881532
WSB,1991,108.0782527
WSB,1992,109.460595
WSB,1993,81.26643993
WSB,1994,69.85012249
WSB,1995,76.49064199
WSB,1996,145.0370965
WSB,1997,176.8697034